ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6135;0;12;0;60%;469;;8;2;1;3;7
6136;1;13;0;48%;375;;16;3;1;6;6
6136;0;13;0;52%;404;;11;2;1;1;6
6134;1;16;0;48%;428;;15;0;0;4;2
6134;0;8;0;52%;472;;17;3;0;2;3
6130;1;16;0;60%;564;;8;3;0;6;3
6130;0;10;0;40%;394;;11;5;0;5;4
6132;1;8;0;63%;580;;14;3;0;1;3
6132;0;11;0;37%;337;;11;2;0;4;3
6133;1;22;0;58%;478;;21;5;0;1;13
6133;0;14;0;42%;353;;21;6;0;0;2
6131;1;11;0;46%;432;;17;2;0;1;4
6131;0;10;0;54%;501;;8;0;0;3;2
6137;1;17;0;46%;468;;5;1;0;0;5
6137;0;11;0;54%;522;;12;2;0;2;5
6138;1;10;0;46%;395;;17;1;1;1;1
6138;0;16;0;54%;443;;20;2;0;1;4
6139;1;8;0;52%;442;;7;2;0;1;1
6139;0;9;0;48%;424;;21;3;0;1;3
6140;1;12;0;59%;454;;22;1;0;4;5
6140;0;6;0;41%;333;;17;2;0;2;4
6141;1;19;0;68%;508;;12;1;0;2;14
6141;0;7;0;32%;261;;12;1;2;0;4
6142;1;18;0;54%;424;;10;0;0;1;6
6142;0;5;0;46%;370;;18;2;1;1;4
6145;1;13;0;37%;293;;16;5;1;4;5
6145;0;11;0;63%;500;;14;2;0;2;9
6143;1;6;0;38%;382;;12;2;0;3;5
6143;0;14;0;62%;605;;12;2;0;1;7
6144;1;14;0;60%;492;;18;1;0;3;7
6144;0;7;0;40%;333;;16;2;0;2;4
6148;1;7;0;41%;462;;13;3;1;0;1
6148;0;17;0;59%;654;;12;1;0;2;2
6149;1;19;0;53%;506;;12;3;0;1;1
6149;0;9;0;47%;464;;22;3;0;1;5
6147;1;12;0;62%;549;;9;3;0;4;8
6147;0;9;0;38%;346;;20;2;0;3;5
6146;1;11;0;46%;452;;5;1;1;5;6
6146;0;19;0;54%;537;;11;3;0;0;4
6152;1;12;0;41%;365;;8;1;0;0;5
6152;0;10;0;59%;529;;7;2;0;3;8
6154;1;14;0;41%;374;;7;0;0;1;7
6154;0;8;0;59%;546;;8;3;0;1;5
6150;1;19;0;52%;422;;18;4;0;1;7
6150;0;8;0;48%;396;;17;6;0;6;2
6155;1;13;0;52%;337;;11;1;0;2;7
6155;0;11;0;48%;325;;21;2;0;0;10
6156;1;18;0;57%;430;;12;2;0;2;11
6156;0;12;0;43%;329;;11;6;0;1;2
6151;1;12;0;54%;462;;17;2;0;7;9
6151;0;10;0;46%;404;;12;2;0;0;5
6153;1;9;0;60%;563;;17;3;0;2;3
6153;0;8;0;40%;385;;19;2;0;5;2
6157;1;14;0;48%;475;;12;3;0;0;8
6157;0;10;0;52%;507;;10;0;0;4;2
6158;1;8;0;47%;453;;6;1;0;1;3
6158;0;11;0;53%;478;;13;2;0;3;8
6159;1;15;0;39%;297;;10;2;0;5;6
6159;0;8;0;61%;454;;15;2;0;1;5
6162;1;14;0;48%;391;;12;1;0;2;6
6162;0;5;0;52%;419;;12;5;0;1;2
6161;1;21;0;62%;590;;16;1;0;0;6
6161;0;7;0;38%;372;;12;3;0;0;3
6160;1;11;0;44%;406;;13;1;0;2;4
6160;0;13;0;56%;503;;19;3;0;0;4
6169;1;16;0;53%;447;;18;1;0;5;2
6169;0;10;0;47%;397;;14;3;0;3;10
6168;1;8;0;63%;456;;17;4;0;4;6
6168;0;7;0;37%;283;;19;3;0;3;2
6165;1;16;0;60%;535;;7;0;0;7;13
6165;0;8;0;40%;394;;15;2;0;1;1
6167;1;23;0;59%;456;;12;1;0;1;10
6167;0;9;0;41%;322;;11;2;0;2;2
6166;1;22;0;64%;537;;17;2;0;0;11
6166;0;3;0;36%;315;;13;1;0;1;2
6163;1;11;0;59%;506;;10;2;0;5;6
6163;0;12;0;41%;351;;17;1;0;3;4
6164;1;14;0;39%;280;;15;4;0;4;6
6164;0;13;0;61%;433;;14;2;0;1;7
6172;1;8;0;63%;540;;18;1;0;1;6
6172;0;10;0;37%;315;;12;1;0;4;5
6171;1;21;0;39%;323;;12;1;0;1;7
6171;0;6;0;61%;506;;11;5;0;1;4
6170;1;8;0;44%;392;;12;1;0;4;2
6170;0;16;0;56%;467;;15;1;0;2;6
6176;1;20;0;56%;439;;14;2;0;2;7
6176;0;10;0;44%;350;;13;3;0;4;1
6174;1;9;0;41%;356;;20;1;0;2;2
6174;0;12;0;59%;523;;18;2;0;0;2
6178;1;15;0;46%;408;;9;1;0;4;2
6178;0;7;0;54%;468;;12;0;2;8;3
6179;1;16;0;58%;375;;15;2;0;0;9
6179;0;8;0;42%;287;;17;6;0;2;2
6177;1;9;0;44%;301;;24;3;0;3;2
6177;0;14;0;56%;374;;10;3;0;3;5
6173;1;20;0;67%;554;;7;1;0;1;6
6173;0;9;0;33%;263;;16;3;0;0;3
6175;1;21;0;54%;451;;11;2;0;1;8
6175;0;8;0;46%;397;;14;5;0;1;2
6182;1;20;0;47%;362;;5;3;0;2;7
6182;0;18;0;53%;442;;17;3;0;1;2
6180;1;17;0;57%;582;;6;0;0;7;13
6180;0;8;0;43%;462;;8;0;0;0;4
6181;1;15;0;62%;508;;16;2;0;1;8
6181;0;8;0;38%;311;;19;4;0;3;9
6185;1;9;0;48%;372;;15;2;0;3;1
6185;0;12;0;52%;373;;16;3;1;1;10
6188;1;13;0;50%;481;;4;2;0;7;7
6188;0;10;0;50%;482;;12;2;0;2;6
6184;1;21;0;58%;416;;10;2;0;1;13
6184;0;13;0;42%;315;;19;2;0;3;8
6183;1;11;0;54%;461;;7;3;0;10;5
6183;0;8;0;46%;405;;18;3;0;0;5
6189;1;10;0;49%;428;;16;0;0;4;5
6189;0;11;0;51%;457;;14;1;0;0;2
6186;1;14;0;43%;330;;11;2;0;0;11
6186;0;8;0;57%;448;;6;1;0;1;4
6187;1;8;0;56%;446;;14;3;0;8;8
6187;0;18;0;44%;363;;21;1;0;5;4
6191;1;20;0;60%;552;;7;0;0;0;3
6191;0;11;0;40%;357;;15;3;0;9;4
6190;1;14;0;49%;521;;6;0;0;2;3
6190;0;15;0;51%;550;;6;1;0;7;4
6192;1;12;0;45%;399;;16;3;0;3;4
6192;0;9;0;55%;484;;13;1;1;1;4
6195;1;17;0;61%;459;;11;4;0;3;9
6195;0;14;0;39%;297;;19;4;0;1;7
6197;1;16;0;51%;433;;13;1;0;2;5
6197;0;9;0;49%;442;;18;2;0;2;4
6199;1;3;0;51%;393;;22;2;0;2;10
6199;0;8;0;49%;392;;9;1;0;0;4
6193;1;11;0;64%;509;;4;3;0;2;11
6193;0;11;0;36%;301;;13;2;0;3;7
6198;1;12;0;44%;303;;19;2;0;1;4
6198;0;19;0;56%;388;;18;3;0;1;5
6196;1;26;0;55%;443;;17;4;0;2;9
6196;0;10;0;45%;395;;14;2;0;0;3
6194;1;7;0;49%;457;;15;1;0;3;6
6194;0;11;0;51%;473;;17;2;0;5;6
6200;1;13;0;30%;221;;14;2;0;2;6
6200;0;13;0;70%;526;;12;2;0;3;9
6201;1;12;0;51%;453;;12;1;0;1;5
6201;0;8;0;49%;447;;15;4;0;3;5
6206;1;16;0;53%;516;;6;0;0;4;7
6206;0;8;0;47%;491;;11;0;0;0;2
6205;1;20;0;60%;440;;17;2;0;2;9
6205;0;15;0;40%;301;;21;4;0;3;9
6203;1;19;0;59%;503;;13;4;0;7;8
6203;0;10;0;41%;354;;16;1;1;4;5
6207;1;17;0;48%;415;;21;4;0;4;5
6207;0;13;0;52%;446;;18;3;0;4;7
6209;1;10;0;41%;337;;17;2;0;0;3
6209;0;16;0;59%;457;;16;4;0;0;4
6202;1;13;0;37%;347;;8;2;0;3;2
6202;0;8;0;63%;568;;11;2;0;0;6
6208;1;16;0;57%;553;;16;2;0;1;4
6208;0;12;0;43%;417;;12;4;0;1;5
6204;1;8;0;49%;331;;20;1;0;0;5
6204;0;10;0;51%;321;;13;1;0;2;7
6212;1;9;0;45%;402;;14;3;0;0;3
6212;0;9;0;55%;475;;11;1;0;1;8
6213;1;9;0;47%;390;;10;2;0;1;7
6213;0;9;0;53%;458;;16;3;1;1;4
6215;1;21;0;52%;370;;12;3;0;8;6
